;Unnamed: 0;img_artiste;url_img_taille_adaptee;url_redir;url_img_secours;artiste;lieu;even_streaming;titre;loc;icone_epingle;url_even;url_artiste;txt_watch_live;est_plus;txt_redir;RSVP;RSVP_int;horaire_debut;horaire_fin;fuseau;regle_affichage;locale;latitude;longitude;weekend_vdd_soir;artiste_provenance
925;925;https://photos.bandsintown.com/thumb/17902158.jpeg;https://media.bandsintown.com/110x110/17902158.webp;https://www.bandsintown.com/e/105846955-zen-selekta-at-downtown-las-vegas-events-center?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png;Zen Selekta;Downtown Las Vegas Events Center;False;Subtronics at Downtown Las Vegas Events Center;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/105846955-zen-selekta-at-downtown-las-vegas-events-center?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15498540-zen-selekta?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;4;4;2024-10-25 20:00:00;2024-10-25T23:30:00;America/Los_Angeles;datetime;en;36.1687163;-115.14464085;1;Atlanta
492;492;https://photos.bandsintown.com/thumb/6044291.jpeg;https://media.bandsintown.com/110x110/6044291.webp;https://www.bandsintown.com/e/1032978612-elation-at-discopussy?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/05.png;Elation;Discopussy;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032978612-elation-at-discopussy?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/753276-elation?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-17 22:00:00;;America/Los_Angeles;datetime;en;36.1691275;-115.140012;0;Australia
711;711;https://photos.bandsintown.com/thumb/6044291.jpeg;https://media.bandsintown.com/110x110/6044291.webp;https://www.bandsintown.com/e/1032820841-elation-at-discopussy?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;Elation;Discopussy;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032820841-elation-at-discopussy?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/753276-elation?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;1;1;2024-10-19 22:00:00;;America/Los_Angeles;datetime;en;36.1691275;-115.140012;1;Australia
714;714;https://photos.bandsintown.com/thumb/15921241.jpeg;https://media.bandsintown.com/110x110/15921241.webp;https://www.bandsintown.com/e/1032294190-lost-frequencies-at-marquee-nightclub?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.png;Lost Frequencies;Marquee Nightclub;False;Marquee Nightclub;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032294190-lost-frequencies-at-marquee-nightclub?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/1670031-lost-frequencies?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;15;15;2024-10-19 22:30:00;;America/Los_Angeles;datetime;en;36.1096705;-115.1736613;1;Belgium
609;609;https://photos.bandsintown.com/thumb/15922879.jpeg;https://media.bandsintown.com/110x110/15922879.webp;https://www.bandsintown.com/e/1030133356-mom-jeans.-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.png;Mom Jeans.;Las Vegas Festival Grounds;False;When We Were Young 2024;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1030133356-mom-jeans.-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/10602776-mom-jeans.?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;76;76;2024-10-19 11:00:00;;America/Los_Angeles;datetime;en;36.1420022;-115.16235229022962;1;Berkeley
494;494;https://photos.bandsintown.com/thumb/16411897.jpeg;https://media.bandsintown.com/110x110/16411897.webp;https://www.bandsintown.com/e/1032637181-alok-at-hakkasan-nightclub?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png;alok;Hakkasan Nightclub;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032637181-alok-at-hakkasan-nightclub?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/414184-alok?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;5;5;2024-10-17 22:30:00;;America/Los_Angeles;datetime;en;;;0;Brazil
755;755;https://photos.bandsintown.com/thumb/18400198.jpeg;https://media.bandsintown.com/110x110/18400198.webp;https://www.bandsintown.com/e/106014647-glass-spells-at-area15?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png;Glass Spells;AREA15;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/106014647-glass-spells-at-area15?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/7260199-glass-spells?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;2;2;2024-10-20 19:00:00;;America/Los_Angeles;datetime;en;-13.96101625;33.76950792327203;1;California
266;266;https://photos.bandsintown.com/thumb/18338306.jpeg;https://media.bandsintown.com/110x110/18338306.webp;https://www.bandsintown.com/e/105766017-like-a-storm-at-count's-vamp'd-rock-bar-and-grill?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;Like A Storm;Count's Vamp'd Rock Bar & Grill;False;Like A Storm with special guests;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/105766017-like-a-storm-at-count's-vamp'd-rock-bar-and-grill?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/304106-like-a-storm?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;24;24;2024-10-12 19:00:00;;America/Los_Angeles;datetime;en;36.14470085;-115.23954956253651;1;Canada
376;376;https://photos.bandsintown.com/thumb/13639805.jpeg;https://media.bandsintown.com/110x110/13639805.webp;https://www.bandsintown.com/e/1031692869-gabriel-rutledge-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/06.png;Gabriel Rutledge;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1031692869-gabriel-rutledge-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/1209505-gabriel-rutledge?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-14 20:00:00;;America/Los_Angeles;datetime;en;;;0;Canada
403;403;https://photos.bandsintown.com/thumb/13639805.jpeg;https://media.bandsintown.com/110x110/13639805.webp;https://www.bandsintown.com/e/1031692345-gabriel-rutledge-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;Gabriel Rutledge;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1031692345-gabriel-rutledge-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/1209505-gabriel-rutledge?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-15 20:00:00;;America/Los_Angeles;datetime;en;;;0;Canada
